Id,,puzzle,answer,number,isSolved,clue,Clue linked to
83,,21 J S,21 Jump Street,21,FALSE,"Oh, Danny Boyle, the pipes, the pipes are calling",88
84,,23 P of C in the H B,23 Pairs of Chromosomes in the Human Body,23,FALSE,,
85,,24 C in P G,24 Carats in Pure Gold,24,FALSE,,
86,,24 H in a D,24 Hours in a Day,24,FALSE,Ask in any ice-cream shop,90
87,72,27 C in N,27 Countries in NATO,27,FALSE,,
88,83,28 D L,28 Days Later,28,FALSE,Clowns to the left…,98
89,,29 D in F in a L Y,29 Days in February in a Leap Year,29,FALSE,,
90,86,31 B R F,31 Baskin Robbins Flavors,31,FALSE,,
91,,32 T in the H M,32 Teeth in the Human Mouth,32,FALSE,,
92,,40 C in the O T,40 Chapters in the Old Testament,40,FALSE,"Film ours, not real ones",106
93,,50 F D,50 First Dates,50,FALSE,,
94,,50 P for a B on a D,50 Points for a Bullseye on a Dartboard,50,FALSE,Doesn't buy much sausage these days,103
95,,50 S on the A F,50 Stars on the American Flag,50,FALSE,Doesn’t buy much salami these days,104
96,,52 C in a D (W J),52 Cards in a Deck (Without Jokers),52,FALSE,,
97,,52 W in a Y,52 Weeks in a Year,52,FALSE,,
98,88,54 C in a D (W J),54 Cards in a Deck (With Jokers),54,FALSE,,
99,,64 S on a C B,64 Squares on a Chess Board,64,FALSE,No sh*t Sherlock,109
100,,7 C in the R,7 Colors in the Rainbow,7,FALSE,Give me an A!,114
101,,88 K on a P,88 Keys on a Piano,88,FALSE,How far?,115
102,,90 D in a R A,90 Degrees in a Right Angle,90,FALSE,,
103,94,100 P in a P,100 Pennies in a Pound,100,FALSE,"Trinity, what was that number again?",123
104,95,100 C in an I E,100 Centesimi in an Italian Euro,100,FALSE,,
105,,100 Z in a G,100 Zeroes in a Googleplex,100,FALSE,Intellectual property + software,121
106,92,127 H,127 Hours,127,FALSE,,
107,,169 = T S,169 = Thirteen Squared,169,FALSE,,
108,,206 B in the H B,206 Bones in the Human Body,206,FALSE,"His son, Christian, was very upset.",118
109,99,221 B S,221 Baker Street,221,FALSE,,
110,,300 S,300 Spartans,300,FALSE,,
111,,365 D in an O Y,365 Days in an Ordinary Year,365,FALSE,,
112,,365.25 D in a Y,365.25 Days in a Year,365,FALSE,,
113,,366 D in a L Y,366 Days in a Leap Year,366,FALSE,,
114,100,440 H for T,440 Hertz for Tuning,440,FALSE,,
115,101,500 M,500 Miles,500,FALSE,,
116,,1000 W that a P is W,1000 Words that a Picture is Worth,1000,FALSE,,
117,,1440 M in a D,1440 Minutes in a Day,1440,FALSE,,
118,108,1685 the Y that J S B D,1685 the Year that Johann Sebastian Bach Died,1685,FALSE,Flew off,10
119,,2001 A S O,2001 A Space Odyssey,2001,FALSE,,
120,,5280 F in a M,5280 Feet in a Mile,5280,FALSE,,
121,105,71282 is the Z for M P,71282 is the Zipcode for Madison Parish,71282,FALSE,,
122,,86164.0905 S in a S D,86164.0905 Seconds in a Sidereal Day,86164,FALSE,,
123,103,5550690 1st P N T in T M,5550690 1st Phone Number Traced in The Matrix,5550690,FALSE,,
